R3E SHARED MEMORY MAP
Generated from r3e_header.h
================================================================================
OFFSET: 0x0000 (00000) | TYPE: r3e_int32       | SIZE: 4 | version_major
OFFSET: 0x0004 (00004) | TYPE: r3e_int32       | SIZE: 4 | version_minor
OFFSET: 0x0008 (00008) | TYPE: r3e_int32       | SIZE: 4 | all_drivers_offset
OFFSET: 0x000C (00012) | TYPE: r3e_int32       | SIZE: 4 | driver_data_size
OFFSET: 0x0010 (00016) | TYPE: r3e_int32       | SIZE: 4 | game_mode
OFFSET: 0x0014 (00020) | TYPE: r3e_int32       | SIZE: 4 | game_paused
OFFSET: 0x0018 (00024) | TYPE: r3e_int32       | SIZE: 4 | game_in_menus
OFFSET: 0x001C (00028) | TYPE: r3e_int32       | SIZE: 4 | game_in_replay
OFFSET: 0x0020 (00032) | TYPE: r3e_int32       | SIZE: 4 | game_using_vr
OFFSET: 0x0024 (00036) | TYPE: r3e_int32       | SIZE: 4 | game_unused1
OFFSET: 0x0028 (00040) | TYPE: r3e_int32       | SIZE: 4 | player.user_id
OFFSET: 0x002C (00044) | TYPE: r3e_int32       | SIZE: 4 | player.game_simulation_ticks
OFFSET: 0x0030 (00048) | TYPE: r3e_float64     | SIZE: 8 | player.game_simulation_time
OFFSET: 0x0038 (00056) | TYPE: r3e_float64     | SIZE: 8 | player.position.x
OFFSET: 0x0040 (00064) | TYPE: r3e_float64     | SIZE: 8 | player.position.y
OFFSET: 0x0048 (00072) | TYPE: r3e_float64     | SIZE: 8 | player.position.z
OFFSET: 0x0050 (00080) | TYPE: r3e_float64     | SIZE: 8 | player.velocity.x
OFFSET: 0x0058 (00088) | TYPE: r3e_float64     | SIZE: 8 | player.velocity.y
OFFSET: 0x0060 (00096) | TYPE: r3e_float64     | SIZE: 8 | player.velocity.z
OFFSET: 0x0068 (00104) | TYPE: r3e_float64     | SIZE: 8 | player.local_velocity.x
OFFSET: 0x0070 (00112) | TYPE: r3e_float64     | SIZE: 8 | player.local_velocity.y
OFFSET: 0x0078 (00120) | TYPE: r3e_float64     | SIZE: 8 | player.local_velocity.z
OFFSET: 0x0080 (00128) | TYPE: r3e_float64     | SIZE: 8 | player.acceleration.x
OFFSET: 0x0088 (00136) | TYPE: r3e_float64     | SIZE: 8 | player.acceleration.y
OFFSET: 0x0090 (00144) | TYPE: r3e_float64     | SIZE: 8 | player.acceleration.z
OFFSET: 0x0098 (00152) | TYPE: r3e_float64     | SIZE: 8 | player.local_acceleration.x
OFFSET: 0x00A0 (00160) | TYPE: r3e_float64     | SIZE: 8 | player.local_acceleration.y
OFFSET: 0x00A8 (00168) | TYPE: r3e_float64     | SIZE: 8 | player.local_acceleration.z
OFFSET: 0x00B0 (00176) | TYPE: r3e_float64     | SIZE: 8 | player.orientation.x
OFFSET: 0x00B8 (00184) | TYPE: r3e_float64     | SIZE: 8 | player.orientation.y
OFFSET: 0x00C0 (00192) | TYPE: r3e_float64     | SIZE: 8 | player.orientation.z
OFFSET: 0x00C8 (00200) | TYPE: r3e_float64     | SIZE: 8 | player.rotation.x
OFFSET: 0x00D0 (00208) | TYPE: r3e_float64     | SIZE: 8 | player.rotation.y
OFFSET: 0x00D8 (00216) | TYPE: r3e_float64     | SIZE: 8 | player.rotation.z
OFFSET: 0x00E0 (00224) | TYPE: r3e_float64     | SIZE: 8 | player.angular_acceleration.x
OFFSET: 0x00E8 (00232) | TYPE: r3e_float64     | SIZE: 8 | player.angular_acceleration.y
OFFSET: 0x00F0 (00240) | TYPE: r3e_float64     | SIZE: 8 | player.angular_acceleration.z
OFFSET: 0x00F8 (00248) | TYPE: r3e_float64     | SIZE: 8 | player.angular_velocity.x
OFFSET: 0x0100 (00256) | TYPE: r3e_float64     | SIZE: 8 | player.angular_velocity.y
OFFSET: 0x0108 (00264) | TYPE: r3e_float64     | SIZE: 8 | player.angular_velocity.z
OFFSET: 0x0110 (00272) | TYPE: r3e_float64     | SIZE: 8 | player.local_angular_velocity.x
OFFSET: 0x0118 (00280) | TYPE: r3e_float64     | SIZE: 8 | player.local_angular_velocity.y
OFFSET: 0x0120 (00288) | TYPE: r3e_float64     | SIZE: 8 | player.local_angular_velocity.z
OFFSET: 0x0128 (00296) | TYPE: r3e_float64     | SIZE: 8 | player.local_g_force.x
OFFSET: 0x0130 (00304) | TYPE: r3e_float64     | SIZE: 8 | player.local_g_force.y
OFFSET: 0x0138 (00312) | TYPE: r3e_float64     | SIZE: 8 | player.local_g_force.z
OFFSET: 0x0140 (00320) | TYPE: r3e_float64     | SIZE: 8 | player.steering_force
OFFSET: 0x0148 (00328) | TYPE: r3e_float64     | SIZE: 8 | player.steering_force_percentage
OFFSET: 0x0150 (00336) | TYPE: r3e_float64     | SIZE: 8 | player.engine_torque
OFFSET: 0x0158 (00344) | TYPE: r3e_float64     | SIZE: 8 | player.current_downforce
OFFSET: 0x0160 (00352) | TYPE: r3e_float64     | SIZE: 8 | player.voltage
OFFSET: 0x0168 (00360) | TYPE: r3e_float64     | SIZE: 8 | player.ers_level
OFFSET: 0x0170 (00368) | TYPE: r3e_float64     | SIZE: 8 | player.power_mgu_h
OFFSET: 0x0178 (00376) | TYPE: r3e_float64     | SIZE: 8 | player.power_mgu_k
OFFSET: 0x0180 (00384) | TYPE: r3e_float64     | SIZE: 8 | player.torque_mgu_k
OFFSET: 0x0188 (00392) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_deflection[0]
OFFSET: 0x0190 (00400) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_deflection[1]
OFFSET: 0x0198 (00408) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_deflection[2]
OFFSET: 0x01A0 (00416) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_deflection[3]
OFFSET: 0x01A8 (00424) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_velocity[0]
OFFSET: 0x01B0 (00432) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_velocity[1]
OFFSET: 0x01B8 (00440) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_velocity[2]
OFFSET: 0x01C0 (00448) | TYPE: r3e_float64     | SIZE: 8 | player.suspension_velocity[3]
OFFSET: 0x01C8 (00456) | TYPE: r3e_float64     | SIZE: 8 | player.camber[0]
OFFSET: 0x01D0 (00464) | TYPE: r3e_float64     | SIZE: 8 | player.camber[1]
OFFSET: 0x01D8 (00472) | TYPE: r3e_float64     | SIZE: 8 | player.camber[2]
OFFSET: 0x01E0 (00480) | TYPE: r3e_float64     | SIZE: 8 | player.camber[3]
OFFSET: 0x01E8 (00488) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[0]
OFFSET: 0x01F0 (00496) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[1]
OFFSET: 0x01F8 (00504) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[2]
OFFSET: 0x0200 (00512) | TYPE: r3e_float64     | SIZE: 8 | player.ride_height[3]
OFFSET: 0x0208 (00520) | TYPE: r3e_float64     | SIZE: 8 | player.front_wing_height
OFFSET: 0x0210 (00528) | TYPE: r3e_float64     | SIZE: 8 | player.front_roll_angle
OFFSET: 0x0218 (00536) | TYPE: r3e_float64     | SIZE: 8 | player.rear_roll_angle
OFFSET: 0x0220 (00544) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_deflection_front
OFFSET: 0x0228 (00552) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_velocity_front
OFFSET: 0x0230 (00560) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_deflection_rear
OFFSET: 0x0238 (00568) | TYPE: r3e_float64     | SIZE: 8 | player.third_spring_suspension_velocity_rear
OFFSET: 0x0240 (00576) | TYPE: r3e_float64     | SIZE: 8 | player.unused1
OFFSET: 0x0248 (00584) | TYPE: r3e_float64     | SIZE: 8 | player.unused2
OFFSET: 0x0250 (00592) | TYPE: r3e_float64     | SIZE: 8 | player.unused3
OFFSET: 0x0258 (00600) | TYPE: r3e_u8char      | SIZE: 1 | track_name[0]
OFFSET: 0x0259 (00601) | TYPE: r3e_u8char      | SIZE: 1 | track_name[1]
OFFSET: 0x025A (00602) | TYPE: r3e_u8char      | SIZE: 1 | track_name[2]
OFFSET: 0x025B (00603) | TYPE: r3e_u8char      | SIZE: 1 | track_name[3]
OFFSET: 0x025C (00604) | TYPE: r3e_u8char      | SIZE: 1 | track_name[4]
OFFSET: 0x025D (00605) | TYPE: r3e_u8char      | SIZE: 1 | track_name[5]
OFFSET: 0x025E (00606) | TYPE: r3e_u8char      | SIZE: 1 | track_name[6]
OFFSET: 0x025F (00607) | TYPE: r3e_u8char      | SIZE: 1 | track_name[7]
OFFSET: 0x0260 (00608) | TYPE: r3e_u8char      | SIZE: 1 | track_name[8]
OFFSET: 0x0261 (00609) | TYPE: r3e_u8char      | SIZE: 1 | track_name[9]
OFFSET: 0x0262 (00610) | TYPE: r3e_u8char      | SIZE: 1 | track_name[10]
OFFSET: 0x0263 (00611) | TYPE: r3e_u8char      | SIZE: 1 | track_name[11]
OFFSET: 0x0264 (00612) | TYPE: r3e_u8char      | SIZE: 1 | track_name[12]
OFFSET: 0x0265 (00613) | TYPE: r3e_u8char      | SIZE: 1 | track_name[13]
OFFSET: 0x0266 (00614) | TYPE: r3e_u8char      | SIZE: 1 | track_name[14]
OFFSET: 0x0267 (00615) | TYPE: r3e_u8char      | SIZE: 1 | track_name[15]
OFFSET: 0x0268 (00616) | TYPE: r3e_u8char      | SIZE: 1 | track_name[16]
OFFSET: 0x0269 (00617) | TYPE: r3e_u8char      | SIZE: 1 | track_name[17]
OFFSET: 0x026A (00618) | TYPE: r3e_u8char      | SIZE: 1 | track_name[18]
OFFSET: 0x026B (00619) | TYPE: r3e_u8char      | SIZE: 1 | track_name[19]
OFFSET: 0x026C (00620) | TYPE: r3e_u8char      | SIZE: 1 | track_name[20]
OFFSET: 0x026D (00621) | TYPE: r3e_u8char      | SIZE: 1 | track_name[21]
OFFSET: 0x026E (00622) | TYPE: r3e_u8char      | SIZE: 1 | track_name[22]
OFFSET: 0x026F (00623) | TYPE: r3e_u8char      | SIZE: 1 | track_name[23]
OFFSET: 0x0270 (00624) | TYPE: r3e_u8char      | SIZE: 1 | track_name[24]
OFFSET: 0x0271 (00625) | TYPE: r3e_u8char      | SIZE: 1 | track_name[25]
OFFSET: 0x0272 (00626) | TYPE: r3e_u8char      | SIZE: 1 | track_name[26]
OFFSET: 0x0273 (00627) | TYPE: r3e_u8char      | SIZE: 1 | track_name[27]
OFFSET: 0x0274 (00628) | TYPE: r3e_u8char      | SIZE: 1 | track_name[28]
OFFSET: 0x0275 (00629) | TYPE: r3e_u8char      | SIZE: 1 | track_name[29]
OFFSET: 0x0276 (00630) | TYPE: r3e_u8char      | SIZE: 1 | track_name[30]
OFFSET: 0x0277 (00631) | TYPE: r3e_u8char      | SIZE: 1 | track_name[31]
OFFSET: 0x0278 (00632) | TYPE: r3e_u8char      | SIZE: 1 | track_name[32]
OFFSET: 0x0279 (00633) | TYPE: r3e_u8char      | SIZE: 1 | track_name[33]
OFFSET: 0x027A (00634) | TYPE: r3e_u8char      | SIZE: 1 | track_name[34]
OFFSET: 0x027B (00635) | TYPE: r3e_u8char      | SIZE: 1 | track_name[35]
OFFSET: 0x027C (00636) | TYPE: r3e_u8char      | SIZE: 1 | track_name[36]
OFFSET: 0x027D (00637) | TYPE: r3e_u8char      | SIZE: 1 | track_name[37]
OFFSET: 0x027E (00638) | TYPE: r3e_u8char      | SIZE: 1 | track_name[38]
OFFSET: 0x027F (00639) | TYPE: r3e_u8char      | SIZE: 1 | track_name[39]
OFFSET: 0x0280 (00640) | TYPE: r3e_u8char      | SIZE: 1 | track_name[40]
OFFSET: 0x0281 (00641) | TYPE: r3e_u8char      | SIZE: 1 | track_name[41]
OFFSET: 0x0282 (00642) | TYPE: r3e_u8char      | SIZE: 1 | track_name[42]
OFFSET: 0x0283 (00643) | TYPE: r3e_u8char      | SIZE: 1 | track_name[43]
OFFSET: 0x0284 (00644) | TYPE: r3e_u8char      | SIZE: 1 | track_name[44]
OFFSET: 0x0285 (00645) | TYPE: r3e_u8char      | SIZE: 1 | track_name[45]
OFFSET: 0x0286 (00646) | TYPE: r3e_u8char      | SIZE: 1 | track_name[46]
OFFSET: 0x0287 (00647) | TYPE: r3e_u8char      | SIZE: 1 | track_name[47]
OFFSET: 0x0288 (00648) | TYPE: r3e_u8char      | SIZE: 1 | track_name[48]
OFFSET: 0x0289 (00649) | TYPE: r3e_u8char      | SIZE: 1 | track_name[49]
OFFSET: 0x028A (00650) | TYPE: r3e_u8char      | SIZE: 1 | track_name[50]
OFFSET: 0x028B (00651) | TYPE: r3e_u8char      | SIZE: 1 | track_name[51]
OFFSET: 0x028C (00652) | TYPE: r3e_u8char      | SIZE: 1 | track_name[52]
OFFSET: 0x028D (00653) | TYPE: r3e_u8char      | SIZE: 1 | track_name[53]
OFFSET: 0x028E (00654) | TYPE: r3e_u8char      | SIZE: 1 | track_name[54]
OFFSET: 0x028F (00655) | TYPE: r3e_u8char      | SIZE: 1 | track_name[55]
